续表 · 受试者流转完整表

                产品       试验           组别      指标      数值    分母口径   披露
                安澜双抗     HORIZON-AD   治疗组     停止治疗    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   治疗组     退出研究    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   治疗组     失访      未公开   已随机    未公开
                安澜双抗     HORIZON-AD   治疗组     其他来源    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     已随机     未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     已接受治疗   未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     完成治疗    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     完成研究    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     停止治疗    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     退出研究    未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     失访      未公开   已随机    未公开
                安澜双抗     HORIZON-AD   对照组     其他来源    未公开   已随机    未公开




                     特应性皮炎临床试验结果比较 · 第 18 页
